date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise,sunset,daylight,sunrise_f,sunset_f,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2021-07-03,36.1,26.55,25.85,15.6,37,,76,42.4,47.5,19,14.7,11.1,10.6,6.4,28,11.88,14,0,46,27,101.15,100.88,100.85,100.54,96.2,95.94,95.91,95.62,16100,16100,16100,16100,,,,,0,7.8,20.9,18.9,15.8,0,,,,04:55:00,21:09:00,16.23,4.92,21.15,9,10,34,34,17,18,,3,0.3,1.5,0,,,,,,,,
2021-07-02,33.6,26.92,27,20.4,35,,56,38.5,40.5,25,13.5,11.3,11.3,9.1,26,13.83,13,0,37,34,101.18,100.94,100.95,100.72,96.24,96.02,96.02,95.8,16100,16033.3,15300,14500,,,,,0,9,22,20,17,0,,,,04:54:00,21:10:00,16.27,4.9,21.17,8,9,35,35,17,18,,4,0.2,2,0,,,,,,,,
2021-07-01,38.9,31.08,30.7,22.5,41,,57,33.4,36,15,16,12.5,11.8,7.7,41,13.17,20.5,0,48,34,100.64,100.43,100.41,100.18,95.75,95.57,95.53,95.32,16100,16100,16100,16100,,,,,0,12.7,25.7,23.7,20.7,0,,,,04:54:00,21:10:00,16.27,4.9,21.17,11,11,37,39,19,19,,3,0.5,1.5,0,,,,,,,,
2021-06-30,43.5,33.66,31.8,20.1,44,,65,32.4,38.5,12,16.6,12.8,12.6,8.5,22,7.33,11,0,42,26,100.65,100.32,100.31,99.97,95.78,95.46,95.46,95.14,16100,16100,16100,16100,,,,,0,13.8,26.8,24.8,21.8,0,,,,04:53:00,21:10:00,16.28,4.88,21.17,10,10,43,43,21,22,,0,0,0,0,,,,,,,,
2021-06-29,44.6,32.04,31.8,19,48,,69,40.5,42,15,19.7,15.2,15.7,11.7,22,7.71,11,0,39,33,101.1,100.72,100.69,100.28,96.21,95.83,95.83,95.44,16100,16100,16100,16100,,,,,0,13.8,26.8,24.8,21.8,0,,,,04:53:00,21:10:00,16.28,4.88,21.17,9,10,43,44,22,24,,0,0,0,0,,,,,,,,
2021-06-28,42.2,30.67,30,17.8,45,,73,40.1,44.5,16,17,13.9,14.2,11.5,26,6.88,13,0,,,101.45,101.09,101.07,100.7,96.53,96.18,96.17,95.82,16100,16100,16100,16100,,,,,0,12,25,23,20,0,,,,04:52:00,21:11:00,16.32,4.87,21.18,12,12,42,42,21,21,,0,0,0,0,,,,,,,,
2021-06-27,40.7,29.57,28.4,16.1,43,,81,39.6,48,15,16.2,12.5,12.8,9.3,24,5.79,12,0,32,34,101.83,101.47,101.44,101.06,96.88,96.53,96.52,96.16,16100,16100,16100,16100,,,,,0,10.4,23.4,21.4,18.4,0,,,,04:52:00,21:11:00,16.32,4.87,21.18,11,11,40,40,21,21,,0,0,0,0,,,,,,,,
2021-06-26,38.3,28.08,26.75,15.2,40,,82,43.9,50.5,19,14.9,12.9,12.9,10.9,30,10.21,15,0,37,33,102,101.71,101.7,101.4,97.03,96.74,96.75,96.47,16100,16100,16100,16100,,,,,0,8.8,21.8,19.8,16.8,0,,,,04:51:00,21:11:00,16.33,4.85,21.18,12,12,37,38,19,19,,0,0,0,0,,,,,,,,
2021-06-25,34.2,25.57,23.85,13.5,36,,77,44.8,51,25,15,11.4,12.4,9.8,30,15,15,0,48,34,101.82,101.61,101.56,101.3,96.83,96.62,96.59,96.35,16100,16100,16100,16100,,,,,0,5.8,18.9,16.9,13.8,0,,,,04:51:00,21:11:00,16.33,4.85,21.18,12,12,34,34,19,19,,0,0,0,0,,,,,,,,
2021-06-24,30.4,24.62,23.1,15.8,31,,76,44.6,52,28,14.1,11,11.7,9.2,32,16.83,16,0,48,33,101.64,101.44,101.42,101.19,96.65,96.47,96.45,96.25,16100,16100,16100,16100,,,,,0,5.1,18.1,16.1,13.1,0,,,,04:50:00,21:11:00,16.35,4.83,21.18,11,11,30,30,17,17,,4,1.5,2,0,,,,,,,,
2021-06-23,34,24.33,23.15,12.3,34,,70,41.4,44.5,19,17.2,9.4,10.8,4.5,35,10.75,17.5,0,50,34,101.11,100.71,100.81,100.5,96.17,95.77,95.88,95.58,16100,16033.3,15300,14500,,,,,0,5.2,18.1,16.1,13.2,0,,,,04:50:00,21:11:00,16.35,4.83,21.18,11,11,32,32,17,17,,4,1.3,2,0,,,,,,,,
2021-06-22,34.4,25.24,23.75,13.1,34,,80,38.8,47.5,15,12.2,8.1,7.7,3.2,37,12.67,18.5,0,48,22,100.76,100.51,100.5,100.24,95.82,95.58,95.58,95.33,16100,16100,16100,16100,,,,,0,5.8,18.8,16.8,13.8,0,,,,04:50:00,21:11:00,16.35,4.83,21.18,11,11,35,35,17,17,,1,0,0.5,0,,,,,,,,
2021-06-21,33.2,22.81,21.65,10.1,34,,87,48.7,53,19,12.3,9.9,9.2,6.2,34,8.08,17,0,41,35,101.6,101.11,101.07,100.54,96.56,96.12,96.08,95.6,16100,16100,16100,16100,,,,,0,3.6,16.6,14.7,11.7,0,,,,04:49:00,21:10:00,16.35,4.82,21.17,11,11,32,33,15,15,,0,0,0,0,,,,,,,,
2021-06-20,28.1,19.3,18.75,9.4,29,,95,58.8,61,27,11.3,9.7,9.1,6.9,30,14.17,15,0,41,34,102.15,101.85,101.83,101.5,97.06,96.78,96.77,96.48,16100,16100,16100,16100,,,,,0,0.8,13.8,11.8,8.8,0,,,,04:49:00,21:10:00,16.35,4.82,21.17,10,10,29,29,12,13,,4,0.6,2,0,,,,,,,,
2021-06-19,25.4,18.9,18.45,11.5,26,,87,52.8,60.5,34,12.9,8.5,9.1,5.3,46,17.46,23,0,71,35,101.8,101.35,101.51,101.21,96.74,96.33,96.47,96.21,16100,16100,16100,16100,,,,,0,0.4,13.4,11.4,8.4,0.2,,,,04:49:00,21:10:00,16.35,4.82,21.17,8,8,24,26,12,13,,4,2,2,0,,,,,,,,
2021-06-18,30.5,21.16,19.1,7.7,29,,80,40.5,49,18,8.2,5.5,5.5,2.8,28,9.67,14,0,41,34,101.74,101.41,101.38,101.01,96.68,96.39,96.34,96,16100,16100,16100,16100,,,,,0,1.1,14.1,12.1,9.1,0,,,,04:49:00,21:09:00,16.33,4.82,21.15,10,10,29,29,12,15,,2,0.1,1,0,,,,,,,,
2021-06-17,28.6,18.47,17.4,6.2,27,,88,43.6,51,14,6.9,3.4,2.1,-2.7,13,4.58,6.5,0,,,102.1,101.85,101.79,101.48,97.02,96.78,96.73,96.44,16100,16100,16100,16100,,,,,0.6,0,12.4,10.4,7.4,0,,,,04:49:00,21:09:00,16.33,4.82,21.15,9,9,28,28,11,11,,0,0,0,0,,,,,,,,
2021-06-16,24.6,17.72,15.7,6.8,,,83,44.5,52.5,22,7.2,4.3,4.2,1.3,24,9.46,12,0,42,18,102.65,102.32,102.3,101.94,97.51,97.22,97.19,96.87,16100,16100,16100,16100,,,,,2.3,0,10.7,8.7,5.7,0,,,,04:49:00,21:09:00,16.33,4.82,21.15,9,9,24,24,10,10,,4,0.3,2,0,,,,,,,,
2021-06-15,23,17.53,18.25,13.5,,,92,57.6,60.5,29,13,8.1,7.6,2.2,39,12.83,19.5,0,48,25,102.32,101.68,101.87,101.41,97.22,96.61,96.78,96.34,16100,16100,16100,16100,,,,,0,0.2,13.2,11.2,8.2,0,,,,04:49:00,21:08:00,16.32,4.82,21.13,9,9,21,22,10,11,,4,2.8,2,0,,,,,,,,
2021-06-14,19.5,16.67,16.75,14,,,98,86.2,85,72,15.3,14.3,14,12.7,9,6.17,4.5,0,,,101.59,101.48,101.48,101.37,96.52,96.42,96.41,96.31,16100,15566.7,13700,11300,,,,,1.2,0,11.8,9.8,6.8,4.2,,,,04:49:00,21:08:00,16.32,4.82,21.13,8,8,24,24,13,14,,4,3.6,3,2,,,,,,,,
2021-06-13,21.3,17.85,17.95,14.6,,,96,66.7,66.5,37,14.8,11.2,9.8,4.9,26,12.92,13,0,35,26,101.49,101.27,101.29,101.1,96.43,96.24,96.27,96.11,16100,15566.7,12900,9700,,,,,0.1,0,12.9,10.9,8,4.7,,,,04:49:00,21:07:00,16.3,4.82,21.12,8,9,26,26,14,14,,4,3.2,2,0,,,,,,,,
2021-06-12,25.9,17.65,15.5,5.1,,,96,51.3,58.5,21,8.7,5.6,5.2,1.7,26,9.79,13,0,41,26,101.69,101.43,101.42,101.14,96.6,96.36,96.37,96.14,16100,16100,16100,16100,,,,,2.5,0,10.5,8.5,5.5,0,,,,04:49:00,21:07:00,16.3,4.82,21.12,8,9,25,25,14,14,,4,1.6,2,0,,,,,,,,
2021-06-11,16.7,11.8,10.3,3.9,,,76,58.8,60,44,8.7,3.7,4.2,-0.4,21,5.54,10.5,0,,,101.79,101.52,101.53,101.28,96.68,96.41,96.42,96.17,16100,16100,16100,16100,,,,,7.7,0,5.3,3.3,0.3,0,,,,04:49:00,21:06:00,16.28,4.82,21.1,5,7,20,21,8,10,,4,2.7,2,0,,,,,,,,
2021-06-10,21.7,14.38,13.7,5.7,,,74,43.5,47,20,6.2,0.7,1.8,-2.5,37,12.83,18.5,0,54,30,101.79,101.58,101.59,101.39,96.68,96.49,96.49,96.31,16100,16100,16100,16100,,,,,4.3,0,8.7,6.7,3.7,0,,,,04:50:00,21:05:00,16.25,4.83,21.08,8,8,19,20,6,6,,4,1.1,2,0,,,,,,,,
2021-06-09,20.9,14.9,13.1,5.3,,,82,51.1,56,30,5.8,4.3,3.9,2,32,11.12,16,0,52,25,101.7,101.58,101.59,101.48,96.61,96.49,96.5,96.39,16100,16100,16100,16100,,,,,4.9,0,8.1,6.1,3.1,0,,,,04:50:00,21:05:00,16.25,4.83,21.08,7,9,19,20,7,8,,4,1.7,2,0,,,,,,,,
2021-06-08,21.4,12.64,11.14,0.9,,,96,57.8,62,28,5.2,3.2,3.1,1.1,30,7.08,15,0,48,28,101.61,101.39,101.4,101.2,96.45,96.28,96.27,96.09,16100,16100,16100,16100,,,,,6.9,0,6.1,4.1,1.1,0,,,,04:50:00,21:04:00,16.23,4.83,21.07,9,9,20,20,9,9,,4,1.8,2,0,,,,,,,,
2021-06-07,16.6,10.63,10.3,4,,,89,66.6,67,45,7.7,4.4,5.2,2.8,28,7.79,14,0,37,14,101.41,101.18,101.21,101,96.28,96.07,96.1,95.92,16100,16033.3,15300,14500,,,,,7.7,0,5.3,3.3,0.3,0.2,,,,04:51:00,21:03:00,16.2,4.85,21.05,6,7,16,17,6,8,,4,2.3,2,0,,,,,,,,
2021-06-06,16.1,12.17,11.3,6.5,,,72,48.2,51.5,31,5.6,1.1,1.9,-1.8,28,13.75,16.5,5,46,26,101.34,101.06,101.05,100.76,96.26,95.99,95.98,95.7,16100,16100,16100,16100,,,,,6.7,0,6.3,4.3,1.3,0,,,,04:51:00,21:02:00,16.18,4.85,21.03,8,8,17,18,8,8,,4,2.9,2,0,,,,,,,,
2021-06-05,20.7,15.11,15.5,10.3,,,77,47.5,50.5,24,8.8,3.2,3.8,-1.1,39,22.12,19.5,0,55,22,101.22,100.88,100.93,100.64,96.15,95.84,95.88,95.61,16100,16100,16100,16100,,,,,2.5,0,10.5,8.5,5.5,0.2,,,,04:52:00,21:01:00,16.15,4.87,21.02,3,3,19,19,8,8,,4,3.2,2,0,,,,,,,,
2021-06-04,28.3,20.69,20.75,13.2,25,,58,32.5,36.5,15,7.3,2.7,3,-1.4,37,19.92,18.5,0,46,24,101.1,100.97,100.92,100.74,96.11,95.99,95.94,95.78,16100,16100,16100,16100,,,,,0,2.8,15.8,13.8,10.8,0,,,,04:52:00,21:00:00,16.13,4.87,21,8,10,26,26,10,10,,4,1.4,2,0,,,,,,,,
2021-06-03,30.1,22.8,21,11.9,29,,74,42.1,48.5,23,11.3,8.2,8.9,6.5,28,9.71,14,0,42,34,101.13,100.94,100.94,100.76,96.17,95.98,95.99,95.8,16100,16100,16100,16100,,,,,0,3,16,14,11,0,,,,04:53:00,20:59:00,16.1,4.88,20.98,11,11,29,29,14,14,,1,0.2,0.5,0,,,,,,,,
2021-06-02,35.4,25.01,23.45,11.5,35,,86,43,51,16,11.9,9.2,8.9,5.9,32,9.42,16,0,42,35,101.26,100.95,100.9,100.54,96.27,95.99,95.94,95.61,16100,16100,16100,16100,,,,,0,5.5,18.4,16.4,13.4,0,,,,04:54:00,20:59:00,16.08,4.9,20.98,10,10,32,34,14,15,,0,0,0,0,,,,,,,,
